section,variable_1,variable_2,estimate,decision
raw_spearman,cloud_cover,shortwave_radiation,-0.8324257262,
raw_spearman,cloud_cover,pressure_mean,-0.5464727901,
raw_spearman,cloud_cover,soil_moisture_mean,0.732608663,
raw_spearman,sunshine_duration,shortwave_radiation,0.8541061356,
raw_spearman,sunshine_duration,pressure_mean,0.4209484406,
raw_spearman,sunshine_duration,soil_moisture_mean,-0.6556805734,
raw_spearman,shortwave_radiation,pressure_mean,0.3553977821,
raw_spearman,shortwave_radiation,soil_moisture_mean,-0.7289175458,
raw_spearman,pressure_mean,soil_moisture_mean,-0.5576589421,
deseasonalized_spearman,tmax,tmin,0.6538812309,
deseasonalized_spearman,tmax,rh_mean,-0.6999626446,
deseasonalized_spearman,tmax,precipitation,-0.5262733634,
deseasonalized_spearman,tmax,wind_speed_mean,0.1713820828,
deseasonalized_spearman,tmax,cloud_cover,-0.5268980428,
deseasonalized_spearman,tmax,sunshine_duration,0.5400595836,
deseasonalized_spearman,tmax,shortwave_radiation,0.6781739323,
deseasonalized_spearman,tmax,pressure_mean,-0.2116874678,
deseasonalized_spearman,tmax,soil_moisture_mean,-0.7217677678,
deseasonalized_spearman,tmin,rh_mean,-0.2497901619,
deseasonalized_spearman,tmin,precipitation,-0.4401183718,
deseasonalized_spearman,tmin,wind_speed_mean,0.3087656448,
deseasonalized_spearman,tmin,cloud_cover,-0.1904129072,
deseasonalized_spearman,tmin,sunshine_duration,0.1863131783,
deseasonalized_spearman,tmin,shortwave_radiation,0.3321773527,
deseasonalized_spearman,tmin,pressure_mean,-0.3044618076,
deseasonalized_spearman,tmin,soil_moisture_mean,-0.465508106,
deseasonalized_spearman,rh_mean,precipitation,0.5680484716,
deseasonalized_spearman,rh_mean,wind_speed_mean,-0.05037838855,
deseasonalized_spearman,rh_mean,cloud_cover,0.6737173213,
deseasonalized_spearman,rh_mean,sunshine_duration,-0.6823105242,
deseasonalized_spearman,rh_mean,shortwave_radiation,-0.7583102416,
deseasonalized_spearman,rh_mean,pressure_mean,0.02768026494,
deseasonalized_spearman,rh_mean,soil_moisture_mean,0.7354220941,
deseasonalized_spearman,precipitation,wind_speed_mean,-0.05319080754,
deseasonalized_spearman,precipitation,cloud_cover,0.5428944034,
deseasonalized_spearman,precipitation,sunshine_duration,-0.4832389805,
deseasonalized_spearman,precipitation,shortwave_radiation,-0.6714589709,
deseasonalized_spearman,precipitation,pressure_mean,0.02228359481,
deseasonalized_spearman,precipitation,soil_moisture_mean,0.5068766964,
deseasonalized_spearman,wind_speed_mean,cloud_cover,0.1732857696,
deseasonalized_spearman,wind_speed_mean,sunshine_duration,-0.139722866,
deseasonalized_spearman,wind_speed_mean,shortwave_radiation,-0.02330876813,
deseasonalized_spearman,wind_speed_mean,pressure_mean,-0.3106658157,
deseasonalized_spearman,wind_speed_mean,soil_moisture_mean,-0.1694143979,
deseasonalized_spearman,cloud_cover,sunshine_duration,-0.9256533454,
deseasonalized_spearman,cloud_cover,shortwave_radiation,-0.7949555882,
deseasonalized_spearman,cloud_cover,pressure_mean,-0.1530718442,
deseasonalized_spearman,cloud_cover,soil_moisture_mean,0.4689066302,
deseasonalized_spearman,sunshine_duration,shortwave_radiation,0.8170641327,
deseasonalized_spearman,sunshine_duration,pressure_mean,0.1125906982,
deseasonalized_spearman,sunshine_duration,soil_moisture_mean,-0.470758092,
deseasonalized_spearman,shortwave_radiation,pressure_mean,-0.003311892296,
deseasonalized_spearman,shortwave_radiation,soil_moisture_mean,-0.600082452,
deseasonalized_spearman,pressure_mean,soil_moisture_mean,0.1410955906,
antecedent_predictor_screening,rh_mean_lag3_mean,retained,2.260514015,"retained; antecedent, non-target-derived, interpretable, VIF below 5"
antecedent_predictor_screening,precipitation_lag7_sum,retained,1.814937094,"retained; antecedent, non-target-derived, interpretable, VIF below 5"
antecedent_predictor_screening,wind_speed_mean_lag3_mean,retained,1.442247318,"retained; antecedent, non-target-derived, interpretable, VIF below 5"
antecedent_predictor_screening,pressure_mean_lag3_mean,retained,1.990616587,"retained; antecedent, non-target-derived, interpretable, VIF below 5"
excluded_predictor_group,same-day Tmax/Tmin/Tmean,excluded,,defines or directly encodes the outcome
excluded_predictor_group,heat index/apparent temperature/VPD,excluded,,temperature-derived; leakage or tautology risk
excluded_predictor_group,event duration/intensity,excluded,,defined using outcome or future event information
